time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
19:40:39:8230,0.1651,-0.2770,0.4246,0.533
19:40:39:8280,0.1651,-0.2770,0.4246,0.533
19:40:39:8330,0.1651,-0.2770,0.4246,0.533
19:40:39:8380,0.1651,-0.2770,0.4246,0.533
19:40:39:8440,-0.0539,-0.1916,0.3633,0.414
19:40:39:8480,-0.0539,-0.1916,0.3633,0.414
19:40:39:8530,-0.0539,-0.1916,0.3633,0.414
19:40:39:8570,-0.0539,-0.1916,0.3633,0.414
19:40:39:8630,-0.0827,-0.2689,0.2060,0.349
19:40:39:8680,-0.0827,-0.2689,0.2060,0.349
19:40:39:8720,-0.0827,-0.2689,0.2060,0.349
19:40:39:8780,-0.0827,-0.2689,0.2060,0.349
19:40:39:8820,-0.0571,-0.1676,0.1976,0.265
19:40:39:8870,-0.0571,-0.1676,0.1976,0.265
19:40:39:8920,-0.0571,-0.1676,0.1976,0.265
19:40:39:8970,-0.0571,-0.1676,0.1976,0.265
19:40:39:9020,0.0501,-0.3909,0.1331,0.416
19:40:39:9070,0.0501,-0.3909,0.1331,0.416
19:40:39:9120,0.0501,-0.3909,0.1331,0.416
19:40:39:9200,0.0501,-0.3909,0.1331,0.416
19:40:39:9220,0.0481,-0.0139,-0.5177,0.520
19:40:39:9410,0.0481,-0.0139,-0.5177,0.520
19:40:39:9420,0.0481,-0.0139,-0.5177,0.520
19:40:39:9420,0.0481,-0.0139,-0.5177,0.520
19:40:39:9420,0.0049,-0.2220,-0.0656,0.232
19:40:39:9470,0.0049,-0.2220,-0.0656,0.232
19:40:39:9510,0.0049,-0.2220,-0.0656,0.232
19:40:39:9560,0.0049,-0.2220,-0.0656,0.232
19:40:39:9610,0.0158,-0.1305,0.0733,0.150
19:40:39:9670,0.0158,-0.1305,0.0733,0.150
19:40:39:9710,0.0158,-0.1305,0.0733,0.150
19:40:39:9770,0.0158,-0.1305,0.0733,0.150
19:40:39:9810,-0.1497,-0.2160,0.3210,0.415
19:40:39:9860,-0.1497,-0.2160,0.3210,0.415
19:40:39:9910,-0.1497,-0.2160,0.3210,0.415
19:40:39:9960,-0.1497,-0.2160,0.3210,0.415
19:40:40:0010,0.0256,-0.0825,-0.0040,0.086
19:40:40:0060,0.0256,-0.0825,-0.0040,0.086
19:40:40:0110,0.0256,-0.0825,-0.0040,0.086
19:40:40:0160,0.0256,-0.0825,-0.0040,0.086
19:40:40:0210,-0.0167,-0.1089,-0.2361,0.261
19:40:40:0270,-0.0167,-0.1089,-0.2361,0.261
19:40:40:0310,-0.0167,-0.1089,-0.2361,0.261
19:40:40:0350,-0.0167,-0.1089,-0.2361,0.261
19:40:40:0400,-0.0722,-0.1986,0.0735,0.224
19:40:40:0450,-0.0722,-0.1986,0.0735,0.224
19:40:40:0500,-0.0722,-0.1986,0.0735,0.224
19:40:40:0550,-0.0722,-0.1986,0.0735,0.224
19:40:40:0610,0.0086,-0.0821,-0.1903,0.207
19:40:40:0650,0.0086,-0.0821,-0.1903,0.207
19:40:40:0700,0.0086,-0.0821,-0.1903,0.207
19:40:40:0750,0.0086,-0.0821,-0.1903,0.207
19:40:40:0910,-0.0737,-0.4406,0.6072,0.754
19:40:40:0910,-0.0737,-0.4406,0.6072,0.754
19:40:40:0920,-0.0737,-0.4406,0.6072,0.754
19:40:40:0940,-0.0737,-0.4406,0.6072,0.754
19:40:40:1000,0.0079,0.0856,-0.5155,0.523
19:40:40:1040,0.0079,0.0856,-0.5155,0.523
19:40:40:1090,0.0079,0.0856,-0.5155,0.523
19:40:40:1150,0.0079,0.0856,-0.5155,0.523
19:40:40:1200,0.0079,0.0856,-0.5155,0.523
19:40:40:1240,-0.0461,-0.0279,0.6771,0.679
19:40:40:1290,-0.0461,-0.0279,0.6771,0.679
19:40:40:1340,-0.0461,-0.0279,0.6771,0.679
19:40:40:1390,-0.0461,-0.0279,0.6771,0.679
19:40:40:1440,0.0092,-0.2375,-0.0232,0.239
19:40:40:1490,0.0092,-0.2375,-0.0232,0.239
19:40:40:1540,0.0092,-0.2375,-0.0232,0.239
19:40:40:1610,0.0092,-0.2375,-0.0232,0.239
19:40:40:1640,0.0240,0.2064,-0.3556,0.412
19:40:40:1690,0.0240,0.2064,-0.3556,0.412
19:40:40:1729,0.0240,0.2064,-0.3556,0.412
19:40:40:1790,0.0240,0.2064,-0.3556,0.412
19:40:40:1840,-0.0154,-0.4115,0.3740,0.556
19:40:40:1880,-0.0154,-0.4115,0.3740,0.556
19:40:40:1940,-0.0154,-0.4115,0.3740,0.556
19:40:40:1990,-0.0154,-0.4115,0.3740,0.556
19:40:40:2030,-0.1088,-0.2795,0.4766,0.563
19:40:40:2100,-0.1088,-0.2795,0.4766,0.563
19:40:40:2130,-0.1088,-0.2795,0.4766,0.563
19:40:40:2180,-0.1088,-0.2795,0.4766,0.563
19:40:40:2230,-0.0524,-0.1622,-0.0740,0.186
19:40:40:2400,-0.0524,-0.1622,-0.0740,0.186
19:40:40:2410,-0.0524,-0.1622,-0.0740,0.186
19:40:40:2410,-0.0524,-0.1622,-0.0740,0.186
19:40:40:2420,-0.1454,0.1048,0.3562,0.399
19:40:40:2480,-0.1454,0.1048,0.3562,0.399
19:40:40:2520,-0.1454,0.1048,0.3562,0.399
19:40:40:2590,-0.1454,0.1048,0.3562,0.399
