time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
19:38:11:2790,-0.0245,-0.0657,-0.0603,0.092
19:38:11:2839,-0.0245,-0.0657,-0.0603,0.092
19:38:11:2890,0.0031,-0.0795,-0.0600,0.100
19:38:11:2940,0.0031,-0.0795,-0.0600,0.100
19:38:11:2990,0.0031,-0.0795,-0.0600,0.100
19:38:11:3040,0.0031,-0.0795,-0.0600,0.100
19:38:11:3090,-0.0238,-0.0798,-0.0598,0.103
19:38:11:3140,-0.0238,-0.0798,-0.0598,0.103
19:38:11:3190,-0.0238,-0.0798,-0.0598,0.103
19:38:11:3260,-0.0238,-0.0798,-0.0598,0.103
19:38:11:3300,-0.0234,-0.0527,-0.0733,0.093
19:38:11:3340,-0.0234,-0.0527,-0.0733,0.093
19:38:11:3390,-0.0234,-0.0527,-0.0733,0.093
19:38:11:3439,-0.0234,-0.0527,-0.0733,0.093
19:38:11:3489,0.0043,-0.0528,-0.0595,0.080
19:38:11:3530,0.0043,-0.0528,-0.0595,0.080
19:38:11:3720,0.0043,-0.0528,-0.0595,0.080
19:38:11:3730,0.0043,-0.0528,-0.0595,0.080
19:38:11:3730,0.0048,-0.0665,-0.0459,0.081
19:38:11:3730,0.0048,-0.0665,-0.0459,0.081
19:38:11:3780,0.0048,-0.0665,-0.0459,0.081
19:38:11:3830,0.0048,-0.0665,-0.0459,0.081
19:38:11:3880,-0.0221,-0.0800,-0.0596,0.102
19:38:11:3920,-0.0221,-0.0800,-0.0596,0.102
19:38:11:3980,-0.0221,-0.0800,-0.0596,0.102
19:38:11:4020,-0.0221,-0.0800,-0.0596,0.102
19:38:11:4079,-0.0217,-0.0527,-0.0734,0.093
19:38:11:4120,-0.0217,-0.0527,-0.0734,0.093
19:38:11:4170,-0.0217,-0.0527,-0.0734,0.093
19:38:11:4230,-0.0217,-0.0527,-0.0734,0.093
19:38:11:4270,-0.0076,-0.0662,-0.0599,0.090
19:38:11:4330,-0.0076,-0.0662,-0.0599,0.090
